,Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species 
254,Queensland,Fishing,M,34,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,22h00,Tawny nurse shark
257,Isla Provedencia,Scuba Diving,M,59,Severe bite to right hand,N,11h00,"Caribbean reef shark, 4.5'"
259,South Carolina,Floating,M,42,Lacerations and punctures to foot,N,15h25,3' to 5' shark
263,Texas,Floating in tube,F,6,Injury to lower leg,N,17h30,3' to 4' shark
264,North Carolina,Standing,M,19,Laceration to wrist,N,15h00,3' shark
267,Western Australia,Diving,F,60,FATAL,Y,11h30,3+ m shark
268,Suez,Swimming,M,23,"Leg severely bitten, surgically amputated",N,Morning,Mako shark
271,Western Australia,Surfing,M,29,FATAL,Y,16h00,White shark
273,Florida,Swimming,M,13,Injury to posterior right leg,N,15h45,5' shark
275,Florida,Swimming,F,22,Lacerations and puncture wounds to foot and ankle,N,18h00,"Bull shark, 4' to 5'"
277,Florida,Swimming,M,48,Ankle bitten,N,Morning ,"Blacktip shark, 4'"
278,Florida,Teasing a shark,F,23,Arm grabbed PROVOKED INCIDENT,N,13h20,"Nurse shark, 2'"
280,North Island,Fishing,M,39,Foot bitten by landed shark PROVOKED INCIDENT,N,Afternoon,"Mako shark, 1.5 m [5'] "
281,Bali,Surfing,M,24,Elbow bitten,N,07h00,"Bull shark, 6'"
284,New South Wales,Swimming,M,12,Minor puncture wound to foot,N,12h00,Wobbegong shark
285,Tuamotos,Spearfishing,M,22,Laceration to knee by speared shark PROVOKED INCIDENT,M,Morning,"Grey reef shark, 2 m"
286,Tuamotos,Spearfishing,M,26,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,Morning,"Grey reef shark, 2 m"
288,Grand Terre,Walking,F,69,FATAL,Y,10h45,"Tiger shark, 2.5 m"
316,Hawaii,Paddle boarding,M,48,No injury,N,Morning,"Tiger shark, 14'"
318,Queensland,Wading,M,11,Laceration to right calf,N,Afternoon,Blacktip shark
319,Queensland,Spearfishing,M,31,Lacerations to arms & leg,N,11h30,3 m shark
322,Hawaii,Paddle boarding,M,71,"No injury, shark bit board",N,Morning,9' shark
323,New South Wales,Surfing,M,43,"No injury, shark leapt on surfboard",N,07h00,"Bronze whaler shark, 6'"
329,Galapagos Islands,Snorkeling,M,55,Lacerations to left calf,N,10h15,Galapagos shark
333,New South Wales,Surfing,M,20,Injury to left thigh,N,18h15,"Bull shark, 2.8 to 3.1 m"
336,Florida,Wading,F,28,Injury to right ankle/calf & hand,N,14h00,3' to 5' shark
340,Western Cape Province,Surfing,M,42,"Lacerations to right calf, knee & hip",N,15h00,"White shark, 3 to 3.5m "
341,Florida,Surfing,M,21,Lacerations to left hand,N,14h30,5' shark
342,Florida,Surfing,M,21,Left foot bitten,N,13h50,"Spinner shark, 5'"
345,Hawaii,Swimming,M,44,Severe injuries to lower legs. Foot later surgically amputated.,N,11h30,"Tiger shark, 7'"
348,Hawaii,Surfing,M,25,"Left leg severed below the knee, defense injuries to left hand",N,10h25,"Tiger shark, 13' "
352,Texas,Wading,M,13,Foot & hands bitten,N,10h00,4' to 5' shark
353,Florida,Surfing,M,14,Severe lacerations to left hand,N,08h30,"Blacktip shark, 4' to 5'"
354,Florida,Surfing,M,22,"Laceration to heel, puncture wounds to dorsum of foot",N,16h20,"Blacktip shark, 5' to 6'"
357,Florida,Surfing,M,14,Minor injury to left ankle,N,16h45,juvenile shark
358,Hawaii,Spearfishing,M,27,Severe laceration to left leg,N,15h52,"Tiger shark, 13'"
359,Florida,Wading,M,12,Significant injuries to leg,N,12h30,4' shark
364,New South Wales,Surfing,M,42,Minor laceration to hand,N,06h15,6' shark
365,California,Stand-Up Paddleboarding,F,50,"No injury, shark struck board, tossing her into the sea",N,17h30,"White shark, 11' to 12'"
366,California,Kayak Fishing,M,29,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N,14h40,Hammerhead shark.
367,New South Wales,Surf-skiing,M,62,Inuries to lower left leg & ankle,N,11h30,"White shark, 2.5 m"
369,Phuket,Wading,F,37,Left foot & ankle bitten,N,08h30,small shark
371,California,Surfing,F,54,"No injury, surfboard bitten",N,10h25,"White shark, 11' to 12'"
372,California,Surfing,M,21,"No injury, shark struk sufer's leg and his board",N,10h00,"White shark, 10' to 12' "
375,South Carolina,Surfing,M,15,"Injuries to left calf, arm and hand",N,12h30,4' shark
376,Florida,Walking,F,10,Lacerations to right leg,N,15h30,3' shark
377,California,Kayak Fishing,M,22,"No injury, kayak bitten",N,07h30,"White shark, 13'"
379,California,Spearfishing,M,57,Right hand bitten  PROVOKED INCIDENT,N,08h00,Hammerhead shark. 6' to 7'
380,New South Wales,Surfing,M,52,"Lacerations and puncture wounds to hip, thigh, arm and hand",N,06h00,White shark
383,Florida,Surfing,M,25,Minor injury to sole of foot,N,19h00,"Blacktip or spinner shark, 4'"
385,Tasmania,Scallop diving on hookah,M,46,FATAL,Y,10h00,"White shark, 3.9 to 4.2 m"
390,California,Surfing,M,38,"No injury, shark bumped & damaged board",N,08h45,"White shark, 7'"
395,New South Wales,Surfing,M,52,"No injury, shark bit surfboard",N,09h00,White shark
396,New South Wales,Body boarding ,M,32,Significant injuries to lower legs,N,09h00,White shark
397,North Carolina,Swimming,M,68,"Injuries to torso, hip, lower leg & hands",N,12h10,6' to 7' shark
399,South Carolina,Playing in the water,M,12,Shallow lacerations & puncture to lateral left leg,N,18h05,4' to 5' shark
400,North Carolina,Swimming,M,18,"Injuries to right calf, buttock and both hands",N,16h00,Bull shark
401,Western Cape Province,Body Boarding,M,19,"Right leg severed, multiple lacerations to left leg",N,14h40,White shark
403,Western Cape Province,Surfing,M,23,Multiple lacerations to torso & leg,N,16h00,"White shark, 2m to 3 m"
404,South Carolina,Standing,M,43,Puncture wounds to foot,N,11h00,4' shark
407,North Carolina,Swimming,M,6,Minor injury to foot,N,12h25,Sandtiger shark
408,Western Australia,Surfing,F,37,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",N,09h30,White shark
412,North Carolina,Wading,M,16,Arm amputated below shoulder,N,17h51,Bull shark
413,North Carolina,Wading,F,12,Left arm amputated at elbow & severe injury to leg,N,16h12,Bull shark
415,North Carolina,Boogie boarding,F,13,Minor lacerations to foot,N,12h45,4' shark
416,Florida,Playing,M,11,Lacerations to right calf,N,10h50,"Bull shark, 5'"
418,Le Port,Surfing,M,47,Left forearm bitten,N,15h00,"Bull shark, 2.5 m"
421,Rangiroa,Spearfishing,M,19,Lacerations to right forearm,N,08h00,1m to 1.2 m shark
423,Florida,Surfing,M,18,2 puncture wounds to  dorsum of left foot,N,10h30,5' shark
428,Eastern Cape Province,Diving,M,29,"Injuries to leg, left arm & both hands",N,13h00,"White shark, 3.5 m"
430,Florida,Wading,M,63,Lacerations to left calf,N,16h30,3- to 4-foot shark
431,South Australia,Surfing,M,26,Leg severed at mid-thigh,N,09h45,"White shark, 6 m"
432,New South Wales,Surf skiing ,M,71,"No injury, knocked off ski",N,11h00,"White shark, 3 m"
434,Saint-Gilles-les-Bains,Surfing,M,13,FATAL,Y,09h00,Bull shark
436,Florida,Spearfishing,M,70,Injuries to head & torso,N,Afternoon,Bull shark
441,Hawaii,Standing / Snorkeling,M,58,Lacerations to left forearm. Lacerations to left hand and thigh,N,11h45,"Tiger shark, 8 to 12 feet"
442,Bora Bora,Hand feeding sharks,M,9,Hand bitten,N,10h00,Blacktip shark
447,d’Étang-Salé,Swimming,F,22,FATAL,Y,18h30,"Tiger shark, 3.5 m"
448,New South Wales,Surfing,M,41,FATAL,Y,10h00,3.5 to 4 m shark
449,New South Wales,Surfing,M,35,Laceration & puncture wounds to right flank & hip,N,06h45,2 m to  3 m shark
451,Queensland,Rowing,M,57,"No injury, shark's teeth scratched hull",N,05h00,"Bull shark, 1.3 m"
452,Hawaii,Shark fishing,M,20,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,03h30,4' shark
460,Abaco Islands,Snorkeling,F,34,Severe bite to right flank,N,16h00,White shark or oceanic whitetip shark
461,Eastern Cape Province,Surfing,M,15,"Lacerations to lower left leg, puncture wounds to sole of left foot",N,08h00,"Raggedtooth shark, 1.3 m"
464,Western Australia,Spearfishing,M,17,FATAL,Y,Morning,"White shark, 4 to 5 m"
467,California,Surfing,M,50,Injury to hip/leg,N,11h30,"White shark, 8' to 10'"
468,Victoria,Fishing,M,40s,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,N,Morning,1.5 m shark
470,Queensland,Spearfishing,M,17,FATAL,Y,11h30,Tiger shark
476,Florida,Surfing,M,44,Laceration to left hand,N,13h00,2' shark
477,Hawaii,Snorkeling,M,53,Laceration to left upper leg,N,13h30,1.5 m shark
480,Hawaii,Surfing,F,34,Lacerations to fingers,N,11h00,"Tiger shark, 12'"
486,New South Wales,Surfing,F,13,"Lacerations to left calf & ankle, puncture wounds to left foot",N,06h30,1 m shark
490,Florida,Surfing,M,29,Foot bitten,N,11h30,Blacktip shark
492,Florida,Surfing,M,15,Foot bitten,N,11h00,Blacktip shark
495,California,Surfing,M,28,Lacerations to knee,N,17h30,8' to 10' shark
496,Western Australia,Surfing,M,23,"Left arm & right hand severed, lacerations to both legs",N,11h00,"2 white shark: 13' & 9""8"""
500,New South Wales,Swimming,M,50,FATAL,Y,10h45,7' shark
501,Alabama,Fishing ,M,43,Leg bitten,N,13h00,Bull shark
502,Massachusetts,Kayaking ,F,20s,"No injury, shark bit kayak",N,18h00,"White shark, 12' to 14'"
503,Florida,Fishing,M,52,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,N,20h00,3' to 4' shark
505,Florida,Body surfing,F,13,Injury to left calf,N,16h40,Spinner shark
519,Louisiana,Swimming,M,7,Minor lacerations to left heel and big toe,N,Afternoon," Bull shark, 5'"
520,South Carolina,Boogie boarding,M,10,Lacerations to right leg & foot,N,14h00,4' tp 5' shark
524,Western Cape Province,Surfing,M,20,Lower limbs & thigh bitten,N,14h00,White shark
527,Saint-Leu,Surfing,M,51,Lacerations to right wrist & calf,N,15h00,1.8 metre shark
530,Hawaii,Swimming,M,61,Lacerations to left foot,N,17h50,6' to 8' shark
531,Florida,Swimming,M,39,Puncture wounds to foot,N,14h30,4' shark
537,South Carolina,Body surfing,M,19,Right hand bitten,N,18h15-18h30,4' to 5' shark
539,Abaco Islands,Spearfishing,M,42,No injury but shark took his pole spear,N,13h00,"Caribbean reef shark, 7' to 8'"
544,Delaware,Standing,M,16,"Abrasion to right hand, lacerations to left forearm",N,17h00," Sandbar shark, 3' to 4'"
545,South Australia,Body boarding,M,39,Minor injury to torso,N,09h45,"Bronze whaler shark, 1.5m"
548,Florida,Swimming,F,22,Laceration to right lower leg,N,13h30,Bull shark
555,South Australia,Surfing,M,35,"No injury, but surfboard severely damaged",N,09h30," white shark, 15' "
559,South Carolina,Swimming,F,40,Lacerations to left foot,N,15h00,4' to 5' shark
561,Florida,Surfing,M,23,Laceration to right hand and cuts on fingertips,N,15h00,3' shark
569,New South Wales,Swimming,F,63,FATAL,Y,08h20,3 m to 4 m white shark
571,Eastern Cape Province,Swimming,M,66,FATAL,Y,15h00,2 m shark
580,Society Islands,Kitesurfing,M,21,Lacerations to lower leg,N,16h00,Blacktip reef shark 
584,South Island,Surfing,M,28,Lacerations to leg,N,20h30,7-gill shark?
590,North Province,Snorkeling,M,37,Leg bitten,N,11h00,Reported to involve a bull shark
591,Western Cape Province,Surfing,M,19,Injuries to left thigh,N,08h45,"White shark, 3m "
593,Hawaii,Boogie boarding,M,29,Lacerations to right hand & knee,N,08h00,"Tiger shark, 10' to 12'"
594,Florida,Surfing,M,30,Right foot bitten,N,14h30,4' to 6' shark
595,New South Wales,Surfing,M,26,"Puncture wounds to hand, laceration to leg",N,18h15," Wobbegong shark, 1.6 to 1.8m "
597,New South Wales,Body boarding,M,19,FATAL,Y,14h00,"Tiger shark, 3m "
599,Western Australia,Surfing,M,35,FATAL,Y,09h00,Thought to involve a white shark
600,Oregon,Surfing,M,25,"No injury, board bitten",N,10h30,"White shark, 10 '"
605,Hawaii,Kiteboarding,M,46,Severe bite to right calf & anklel,N,15h19,Tiger shark
606,Western Australia,Snorkeling,F,60,Lacerations to right arm,N,Afternoon,"Blacktip reef shark, 1m"
607,d’Étang-Salé,Body boarding,M,24,Right leg severed,N,16h30,Thought to involve a bull shark
609,New South Wales,Surfing,M,41,Injuries to right foot,N,18h15,Wobbegong shark
610,Hawaii,Diving ,M,45,"3"" laceration to left hip",N,15h55,"Whitetip reef shark, 4' to 6'"
611,Hawaii,Surfing,M,25,"No injury, shark bit surfboard",N,11h00,Tiger shark
612,Florida,Wading,M,6,Bitten on left calf & foot,N,Late afternoon,Nurse shark?
613,Eastern Cape Province,Swimming / snorkeling,M,74,FATAL,Y,11h30,White shark
614,Western Australia,Diving for Abalone,M,55,"Injuries to torso, head and face",N,10h30,White shark
615,California,Surfing,M,45,Laceration to thigh,N,08h45,"White shark, 8' to 10'"
616,Florida,Wading,M,12,Lacerations to  right forearm,N,15h30,Small bull shark
622,Florida,Swimming,M,21,Lacerations to right foot,N,15h30,Bull shark
623,Florida,Surfing,F,13,Heel bitten,N,13h00,3' shark
625,Florida,Surfing,M,43,Foot bitten when he accidentally jumped onto the shark PROVOKED INCIDENT,N,16h00,3' shark
626,Florida,Standing,M,25,"Minor injury, shin bitten",N,16h00,3' shark
630,Florida,Casting a net,M,9,Lacerations to left calf,N,12h00,4' shark
634,Bay of Biscay,Longline fishing for sharks,M,50,Laceration to right arm from hooked shark  PROVOKED INCIDENT,N,20h30,"Mako shark, 5'"
639,Hawaii,Snorkeling,F,20,FATAL,Y,16h30,Tiger shark?
641,South Carolina,Surfing,M,10,"No injury, shark became entangled in his surfboard leash",N,17h30,"Bull shark, 8'"
643,Florida,Fishing,M,17,Minor injury to foot & shin,N,15h00,"Bull shark, 6' to 8'"
646,Abaco Islands,Spearfishing,M,40,Leg bitten,N,16h05,6' shark
648,Hawaii,Surfing,M,18,Lower leg bitten,N,14h10,"Tiger shark, 8' to 10' "
649,Exuma Islands,Cleaning fish,M,64,Bitten on left hand,N,16h45,Nurse shark
663,South Carolina,Swimming,M,14,"Bitten on lower right leg, reported as a minor injury",N,12h45,4' to 5' shark
664,Hawaii,Swimming,M,28,Right thigh & calf bitten,N,12h50,"Tiger shark, 14'"
668,South Carolina,Boogie Boarding,F,10,Puncture marks to hand,N,Afternoon,4' to 5' shark
675,Santa Cruz Island,Surfing,M,29,Superficial injury to left calf,N,12h00,Galapagos shark
677,Saint-Gilles,Body boarding,M,36,FATAL,Y,08h20,Bull shark
678,Florida,Surfing,M,16,Lacerations to left foot and ankle,N,11h15,a small shark
680,Quintana Roo,Swimming,F,34,Avulsion injury  to lower right leg,N,13h40,Tiger shark
681,New South Wales,Fishing,M,51,Puncture wounds and lacerations to both legs,N,14h00,"Grey nurse shark, 3m"
682,Florida,Playing in the surf,M,9,Lacerations to right foot,N,10h30,3' shark
684,Florida,Surfing,M,21,Minor lacerations to right hand,N,13h30,Bull shark
686,Tuamotus,Kite boarding,M,53,"Underside of board, fins and, harness were damaged, and left  hip, thigh and buttock sustained puncture wounds",N,12h00,Possibly a blacktip reef shark
689,Hawaii,Surfing,M,58,Right thigh bitten,N,08h30,4' shark
694,Western Cape Province,Fishing - 'tag & release',M,30,Lacerations to left calf and heel from hooked shark PROVOKED INCIDENT,N,09h00,"Raggedtooth shark, 1.5 m"
696,St. Catherine,Spearfishing,M,68,FATAL,Y,09h00,"Tiger shark, 4.8 m"
697,Western Australia,Spearfishing,M,28,Laceration to left hand,N,09h00,"Bronze whaler shark, 2.5m"
700,North Island,Swimming,M,46,FATAL,Y,13h24,"White shark, 4m"
703,Florida,Surfing,M,16,Lacerations to right hand,N,14h00,"Blacktip shark, 4' to 5'"
704,Society Islands,Scuba diving,M,48,Lacerations to right arm & thigh,N,09h00 - 09h30,Lemon shark
709,Hawaii,Surfing,M,43,Left forearm bitten ,N,16h30,"Tiger shark, 15'"
713,New South Wales,Surfing,M,23,"No injury, chunk missing from surfboard",N,12h45,2.5 m shark
714,New South Wales,Paddle boarding,M,29,Lacerations to thigh and hand,N,10h45,"Bull shark, 2m "
716,Western Australia,Surfing,M,32,No injury,N,830,"Tiger shark, 6'"
717,Hawaii,Surfing,M,60,Lacerations to left foot,N,13h20,10' shark
718,New South Wales,Spearfishing,M,31,Minor puncture wounds to knee,N,16h45,Sandtiger shark
720,Hawaii,Snorkeling,M,61,Lacerations to thigh & lower left leg,N,09h40,"Tiger shark, 10'"
722,Sinaloa,Swimming,M,32,FATAL,Y,11h40,2.5 m shark
723,Florida,Surfing,M,14,Minor lacerations to left foot & heel,N,17h30,2' to 3' shark
724,Hawaii,Diving,M,30,Right lower leg and foot bitten,N,08h30,"Tiger shark, 15'"
725,Hawaii,Surfing,M,43,"No injury, surfboard bitten",N,08h10,"Tiger shark, 8'"
726,California,Surfing,M,25,Multiple lacerations to torso,N,12h00,White shark
727,Hawaii,Swimming,F,51,"Puncture wounds to thigh, defense wounds  to hand",N,15h56,"Tiger shark, 10' to 12' "
728,California,Surfing,M,39,FATAL,Y,11h00,"White shark, 15' to 16' "
731,Hawaii,Paddle boarding,M,55,"No injury, board bitten",N,07h30,6' to 8' shark
735,Western Australia,Bodyboarding,M,11,"No injury, but swim fin bitten & torn",N,12h00,2m shark
736,Florida,Surfing,M,21,Lacerations to left forearm,N,16h30,5' shark
737,Florida,Surfing,M,22,Left foot bitten,N,Afternoon,4' shark
746,Florida,Boogie boarding,F,8,Puncture wounds to calf and hand,N,18h30,3.5' to 4' shark
748,Florida,Swimming or boogie boarding,F,56,Puncture wound to left ankle,N,16h30,3.5' to 4' shark
754,Florida,Free diving ,M,56,Lacerations to little finger of left hand,N,1600,"Lemon shark, 4' to 5' "
755,Saint Leu,Surfing,M,39,Right hand and foot severed,N,17h17,Bull shark
758,South Australia,Surfing,M,48,Lacerations to torso & arm,N,14h40,White shark or bronze whaler
760,Massachusetts,Body surfing,M,50,Lacerations to both legs below the knees,N,15h30,Thought to involve a white shark
765,Western Australia,Surfing,M,24,FATAL,Y,09h05,"White shark, 5m"
769,California,Kayaking,M,52,"No injury, kayak bitten",N,08h30,14' to 18'shark
770,Western Cape Province,Surfing,M,29,Lacerattions to left thigh & knee,N,16h30,15' shark
772,Florida,Swimming,M,6,Thigh bitten,N,19h00,possibly a bull shark
774,Hawaii,Sitting in the water,F,16,Laceration to left calf,N,09h45,a small reef shark
777,Western Australia,Surf skiing ,M,62,"No injury, ski severely damaged",N,07h15,3 m shark
780,Florida,Fishing,M,23,Superficial injury to calf by hooked shark PROVOKED ACCIDENT,N,14h20,Nurse shark
781,South Carolina,Swimming,F,18,Foot & hand bitten,N,Afternoon,small blacktip shark?
784,South Carolina,Swimming,M,16,Laceration to right foot,N,13h20,Blacktip shark 
785,Victoria,Surfing,M,42,Laceration to right foot,N,Morning,1.5 m shark
786,Sardinia,Attempting to rescue an injured & beached shark,M,57,Lower left leg injured PROVOKED ACCIDENT,2017,Morning,"Blue shark, 2.5m"
787,New South Wales,Surf skiing ,M,30,"No injury, ski bitten",N,14h30,"White shark, 2 m"
790,North Carolina,Wading,F,33,Foot bitten,N,13h30,"18"" to 24"" shark"
791,Guerrero,Free diving / spearfishing,M,46,Left hand severed,N,09h00,"Bull shark, 3m"
792,Florida,Surfing,M,22,Lacerations to foot,N,15h00,4' to 5' shark
795,California,Kayaking / Fishing,M,30,"No injury, kayaker fell in the water when kayak bitten by a shark",N,14h30,White shark
797,California,Paddle boarding,F,15,"No injury, shark bit paddleboard",N,07h20,White shark
798,Florida,Surfing,M,28,Lacerations to hand,N,19h28,5' shark
799,Western Cape Province,Body boarding,M,20,FATAL,Y,12h30,"White shark, 4 m to 5m "
801,Hawaii,Surfing,M,28,Lacerations to left foot,N,12h38,"Tiger shark, 10'  "
803,Western Australia,Scuba diving,M,33,FATAL,Y,09h30,"White shark, 4m "
806,Queensland,Surfing,M,20,Lacerations to left calf,N,17h00,Possibly a bull shark
807,Florida,Surfing,M,61,Left forearm bitten,N,15h50,Possibly a 5' to 6' bull shark
808,Florida,Surfing,F,15,Bitten on ankle,N,16h00,4' to 5' shark
809,Florida,Surfing,M,17,Bitten on calf,N,16h05,4' to 5' shark
811,Victoria,"Diving, feeding sharks",F,34,Superficial lacerations to right side of face PROVOKED ACCIDENT,N,11h30,"Tawny nurse shark, 40cm"
813,Florida,Kite Surfing,M,19,Lacerations to left calf,N,13h00,4' shark
821,Western Australia,Snorkeling,M,26,Lacerations to right forearm,N,Afternoon,"Tiger shark, 3m"
824,New South Wales,Surfing,M,44,Lacerations to thigh,N,16h45,"White shark, 2.7 m"
825,Eastern Cape Province,Swimming,M,25,FATAL,Y,15h40,Thought to involve a bull shark
827,New South Wales,Surfing,M,28,Right forearm and wrist injured,N,20h00,2 m shark
828,Queensland,Spearfishing,M,34,"No injury, punctures to swim fin",N,09h00,Allegedly a 4 m tiger shark
835,New South Wales,Surfing,M,51,5 puncture wounds to thigh,N,05h45,"White shark, 2.5m"
842,Queensland,Swimming,M,10,Puncture marks to foot,N,Afternoon,Wobbegong shark?
850,Western Australia,Diving,M,32,FATAL,Y,13h25,"White shark, 10'"
852,Victoria,Diving,M,50,Small bruise to calf,N,16h00,"Port Jackson shark, 1m"
861,Western Cape Province,Swimming,M,43,"Right leg severed, left leg lacerated",N,12h25,White shark
862,Florida,Spearfishing,M,21,Laceration to left thigh,N,15h00,"Bull shark, 6'"
867,Florida,Surfing,M,25,Lacerations to arm,N,11h00,4' to 6' shark
869,Central Province,Kite Surfing,M,30,Lacerations to right leg,N,Afternoon,"Tiger shark, 2m"
871,Western Australia,Body boarding,M,21,FATAL,Y,13h26,White shark
872,Florida,Surfing,M,19,Lacerations to ankle & foot,N,11h00,"6' shark, possibly a blactip or spinner shark"
873,Florida,Surfing,M,19,Lacerations to lower leg,N,11h00,6' shark
879,Western Cape Province,Surfing,M,49,FATAL,Y,09h11,"White shark, >6'"
881,North Carolina,Wading,F,20s,Lacerations to foot,N,17h00,Possibly a 5' to 6' sandtiger shark
